"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"49392.738307";"Скорость (GPS)";"105.044885363177";"km/h";"40.4542078808054";"0.403076296701205";
"49392.738307";"Средняя скорость (GPS)";"105.086325297029";"km/h";"40.4542078808054";"0.403076296701205";
"49392.739307";"Высота (GPS)";"56.9556598048657";"m";"40.4542078808054";"0.403076296701205";
"49393.500307";"Высота (GPS)";"56.435988901183";"m";"40.4542078808054";"0.403076296701205";
"49393.500307";"Скорость (GPS)";"104.573887719541";"km/h";"40.4542078808054";"0.403076296701205";
"49393.500307";"Средняя скорость (GPS)";"104.803062185158";"km/h";"40.4542078808054";"0.403076296701205";
"49393.615307";"Высота (GPS)";"56.435988901183";"m";"40.4539814775744";"0.402905791928133";
"49393.615307";"Скорость (GPS)";"104.573887719541";"km/h";"40.4539814775744";"0.402905791928133";
"49393.615307";"Средняя скорость (GPS)";"104.785386804325";"km/h";"40.4539814775744";"0.402905791928133";
"49394.508307";"Высота (GPS)";"56.55458864104";"m";"40.4539814775744";"0.402905791928133";
"49394.508307";"Скорость (GPS)";"104.238893798638";"km/h";"40.4539814775744";"0.402905791928133";
"49394.508307";"Средняя скорость (GPS)";"104.580951197474";"km/h";"40.4539814775744";"0.402905791928133";
"49394.530307";"Высота (GPS)";"56.55458864104";"m";"40.4537538775542";"0.402738426425418";
"49394.530307";"Скорость (GPS)";"104.238893798638";"km/h";"40.4537538775542";"0.402738426425418";
"49394.530307";"Средняя скорость (GPS)";"104.577788904404";"km/h";"40.4537538775542";"0.402738426425418";
"49395.508307";"Высота (GPS)";"56.8666561450809";"m";"40.4537538775542";"0.402738426425418";
"49395.508307";"Скорость (GPS)";"105.012333255641";"km/h";"40.4537538775542";"0.402738426425418";
"49395.508307";"Средняя скорость (GPS)";"104.703267265069";"km/h";"40.4537538775542";"0.402738426425418";
"49395.577307";"Высота (GPS)";"56.8666561450809";"m";"40.4535251062572";"0.40256561048073";
"49395.577307";"Скорость (GPS)";"105.012333255641";"km/h";"40.4535251062572";"0.40256561048073";
"49395.577307";"Средняя скорость (GPS)";"104.709435469909";"km/h";"40.4535251062572";"0.40256561048073";
"49396.505307";"Высота (GPS)";"57.1758808977902";"m";"40.4535251062572";"0.40256561048073";
"49396.505307";"Скорость (GPS)";"106.566757341134";"km/h";"40.4535251062572";"0.40256561048073";
"49396.505307";"Средняя скорость (GPS)";"105.102513519745";"km/h";"40.4535251062572";"0.40256561048073";
"49396.628307";"Высота (GPS)";"57.1758808977902";"m";"40.4532922167103";"0.402387409661784";
"49396.628307";"Скорость (GPS)";"106.566757341134";"km/h";"40.4532922167103";"0.402387409661784";
"49396.628307";"Средняя скорость (GPS)";"105.142527092694";"km/h";"40.4532922167103";"0.402387409661784";
"49397.511307";"Высота (GPS)";"56.6468343883753";"m";"40.4532922167103";"0.402387409661784";
"49397.511307";"Скорость (GPS)";"108.071317382438";"km/h";"40.4532922167103";"0.402387409661784";
"49397.511307";"Средняя скорость (GPS)";"105.62242904538";"km/h";"40.4532922167103";"0.402387409661784";
"49397.539307";"Высота (GPS)";"56.6468343883753";"m";"40.4530574225042";"0.402203708778439";
"49397.539307";"Скорость (GPS)";"108.071317382438";"km/h";"40.4530574225042";"0.402203708778439";
"49397.539307";"Средняя скорость (GPS)";"105.635134047928";"km/h";"40.4530574225042";"0.402203708778439";
"49398.509307";"Высота (GPS)";"57.0573264202103";"m";"40.4530574225042";"0.402203708778439";
"49398.509307";"Скорость (GPS)";"109.017835153316";"km/h";"40.4530574225042";"0.402203708778439";
"49398.509307";"Средняя скорость (GPS)";"106.149110351316";"km/h";"40.4530574225042";"0.402203708778439";
"49398.597307";"Высота (GPS)";"57.0573264202103";"m";"40.4528209440012";"0.402027881268462";
"49398.597307";"Скорость (GPS)";"109.017835153316";"km/h";"40.4528209440012";"0.402027881268462";
"49398.597307";"Средняя скорость (GPS)";"106.188140313344";"km/h";"40.4528209440012";"0.402027881268462";
"49399.563307";"Высота (GPS)";"57.0650472799316";"m";"40.4528209440012";"0.402027881268462";
"49399.563307";"Скорость (GPS)";"109.487820880072";"km/h";"40.4528209440012";"0.402027881268462";
"49399.563307";"Средняя скорость (GPS)";"106.616319281286";"km/h";"40.4528209440012";"0.402027881268462";
"49399.579307";"Высота (GPS)";"57.0650472799316";"m";"40.452587268945";"0.401836977871881";
